tree	node	distance	d-025	d-975	brLen	speed	x-005	x-095	slower	faster
joyce2023	20	16392.133	10057.723	26581.520	36.875	444.532	16291.150	31099.587	0.489	0.003
joyce2023	21	10831.601	5738.527	17782.174	20.625	525.169	8689.586	18889.324	0.234	0.014
joyce2023	22	2978.606	1027.835	6114.095	3.750	794.295	1522.932	6066.234	0.090	0.027
joyce2023	23	25440.941	17289.533	34871.301	43.750	581.507	19277.616	35126.397	0.070	0.023
joyce2023	24	7823.479	3625.196	14005.082	14.375	544.242	5472.614	14628.359	0.157	0.016
joyce2023	25	16973.453	10331.548	24887.744	29.375	577.820	12218.354	24129.762	0.081	0.036
joyce2023	26	8956.758	4039.096	15745.513	16.250	551.185	6071.320	15816.301	0.154	0.024
joyce2023	27	9206.967	3957.052	14412.945	13.125	701.483	4571.957	13240.255	0.045	0.068
joyce2023	28	10550.785	4489.711	15552.163	13.125	803.869	4410.068	12934.890	0.022	0.181
joyce2023	29	911.227	155.315	2199.111	0.625	1457.962	333.585	2223.901	0.092	0.024
joyce2023	30	24163.716	16643.471	34007.658	46.875	515.493	21471.668	37469.846	0.259	0.005
joyce2023	31	4838.262	2047.760	9349.896	7.500	645.102	2999.639	9460.042	0.121	0.022
joyce2023	32	4234.975	1303.588	8521.215	8.750	483.997	2415.663	9388.423	0.142	0.011
joyce2023	33	15930.274	10452.410	24085.860	30.625	520.172	13011.940	26134.962	0.188	0.009
joyce2023	34	13939.077	7992.621	22813.773	30.625	455.154	12973.276	26171.757	0.409	0.004
joyce2023	35	3362.348	1068.965	6886.623	5.625	597.751	1924.541	7194.522	0.149	0.016
joyce2023	36	3593.395	1175.787	7583.746	6.875	522.676	2235.130	8250.940	0.183	0.011
joyce2023	37	11882.050	5937.056	20310.939	26.875	442.123	11436.717	23738.706	0.460	0.003
joyce2023	38	12924.135	7139.421	21076.944	26.875	480.898	11290.715	23368.458	0.335	0.007
joyce2023	39	4770.279	1945.123	9371.877	9.375	508.830	3302.497	10277.570	0.190	0.011
joyce2023	40	10461.314	4786.815	18364.999	24.375	429.182	9426.332	20966.185	0.402	0.005
joyce2023	41	3113.255	1012.040	7133.513	6.250	498.121	1977.909	7998.570	0.196	0.009
joyce2023	42	8241.426	3821.341	14926.743	18.125	454.699	6632.605	16872.063	0.297	0.006
joyce2023	43	4455.033	1818.708	9177.304	8.750	509.147	3384.464	10541.496	0.259	0.007
joyce2023	44	3450.942	1156.129	9203.847	9.375	368.101	2603.605	9684.753	0.287	0.017
joyce2023	45	3678.259	1146.078	9206.809	9.375	392.348	2540.247	9920.399	0.244	0.016
joyce2023	46	4491.718	1446.980	8898.725	6.875	653.341	2279.620	8536.819	0.101	0.035
joyce2023	47	4815.205	1523.871	9548.775	6.875	700.393	2356.035	8253.920	0.098	0.077
joyce2023	48	49861.352	38029.091	63162.511	90.625	550.194	44760.240	67196.137	0.210	0.006
joyce2023	49	8937.850	4180.434	14704.202	12.500	715.028	5321.209	13310.058	0.081	0.068
joyce2023	50	27772.268	18716.502	38292.547	50.000	555.445	23475.335	40546.132	0.193	0.010
joyce2023	51	15591.706	9160.638	23725.346	28.125	554.372	11526.750	24052.524	0.126	0.021
joyce2023	52	4579.229	1666.439	8815.904	6.875	666.070	2185.690	8399.274	0.069	0.035
joyce2023	53	13152.504	7487.333	19797.641	21.250	618.941	8702.055	19415.348	0.069	0.031
joyce2023	54	6365.817	2832.240	11210.848	10.625	599.136	3867.189	11339.193	0.098	0.022
joyce2023	55	8442.451	4029.570	12962.863	10.625	794.584	3812.046	10896.057	0.019	0.153
joyce2023	56	7906.340	3632.213	12851.052	10.625	744.126	3633.047	11404.934	0.025	0.085
joyce2023	57	7301.273	3120.028	12667.985	11.125	656.294	4367.553	12169.337	0.102	0.036
joyce2023	58	6588.995	2829.732	11851.283	11.000	599.000	4203.173	11877.214	0.124	0.024
joyce2023	59	4046.785	1403.096	7882.270	5.750	703.789	2114.217	7811.397	0.096	0.027
joyce2023	60	33917.636	24136.532	45131.000	61.250	553.757	29969.423	46845.463	0.222	0.011
joyce2023	61	3266.699	1139.373	6258.428	3.750	871.120	1589.538	6221.961	0.072	0.027
joyce2023	62	31721.570	22434.470	42598.938	57.500	551.679	26649.691	44367.886	0.147	0.012
joyce2023	63	11823.278	6409.157	18685.448	20.625	573.250	8812.414	19047.623	0.154	0.018
joyce2023	64	21091.624	13975.717	29745.273	36.875	571.976	16535.792	30101.388	0.113	0.021
joyce2023	65	10491.422	5688.969	16896.934	17.500	599.510	7437.894	17557.287	0.121	0.016
